,,,,,,
,,,,,,
Sala Emiliano,Attaquant,Nantes,"5,4",12,500,42 %
,,,,,,
Pepe Nicolas,Attaquant,Lille,6,22,49,97 %
,,,,,,
Mbappé Kylian,Attaquant,Paris,"6,7",33,48,63 %
,,,,,,
Thiago Mendes,Mil. Def.,Lille,"6,1",0,33,92 %
,,,,,,
Khazri Wahbi,Mil. Off,Saint-Étienne,"5,6",13,32,84 %
,,,,,,
Bamba Jonathan,Mil. Off,Lille,"5,5",13,32,92 %
,,,,,,
Delort Andy,Attaquant,Montpellier,"5,5",14,30,95 %
,,,,,,
Di María Ángel,Mil. Off,Paris,"5,8",12,29,74 %
,,,,,,
Savanier Téji,Mil. Def.,Nîmes,6,6,29,84 %
,,,,,,
Cabella Rémy,Mil. Off,Saint-Étienne,"5,4",8,28,89 %
,,,,,,
Marquinhos,Def. Cen.,Paris,6,3,28,79 %
,,,,,,
Benítez Walter,Gardien,Nice,6,0,28,92 %
,,,,,,
Ruffier Stéphane,Gardien,Saint-Étienne,"5,8",0,26,97 %
,,,,,,
Maignan Mike,Gardien,Lille,"5,8",0,26,100 %
,,,,,,
Fekir Nabil,Attaquant,Lyon,"5,5",9,26,63 %
,,,,,,
José Fonte,Def. Cen.,Lille,"5,5",3,25,95 %
,,,,,,
Cavani Edinson,Attaquant,Paris,"5,9",18,25,53 %
,,,,,,
Niang M'Baye,Attaquant,Rennes,"5,4",11,25,50 %
,,,,,,
Terrier Martin,Mil. Off,Lyon,"5,5",9,25,42 %
,,,,,,
Gurtner Régis,Gardien,Amiens,"5,5",0,24,100 %
,,,,,,
M'Vila Yann,Mil. Def.,Saint-Étienne,"5,5",0,24,97 %
,,,,,,
Lala Kenny,Def. Lat.,Strasbourg,"5,3",5,24,89 %
,,,,,,
Neymar,Attaquant,Paris,"6,4",15,23,42 %
,,,,,,
Samba Brice,Gardien,Caen,"5,7",0,23,100 %
,,,,,,
Rongier Valentin,Mil. Def.,Nantes,"5,5",4,23,95 %
,,,,,,
Butelle Ludovic,Gardien,Angers,"5,6",0,22,95 %
,,,,,,
Balotelli Mario,Attaquant,Marseille,"4,9",8,22,55 %
,,,,,,
Bahoken Stéphane,Attaquant,Angers,"4,8",11,22,82 %
,,,,,,
Coulibaly Kalifa,Attaquant,Nantes,"4,7",8,22,50 %
,,,,,,
Mollet Florent,Mil. Off,Montpellier,"5,6",6,22,82 %
,,,,,,
Dembele Moussa,Attaquant,Lyon,"5,3",15,22,55 %
,,,,,,
Skhiri Ellyes,Mil. Def.,Montpellier,"5,6",3,22,92 %
,,,,,,
Rafael Leão,Attaquant,Lille,"5,1",8,22,42 %
,,,,,,
Aouar Houssem,Mil. Off,Lyon,"5,4",7,22,92 %
,,,,,,
Thiago Silva,Def. Cen.,Paris,"5,9",0,21,63 %
,,,,,,
Anthony Lopes,Gardien,Lyon,"5,5",0,21,89 %
,,,,,,
Germain Valère,Attaquant,Marseille,5,8,21,61 %
,,,,,,
Ocampos Lucas,Mil. Off,Marseille,"5,3",4,21,82 %
,,,,,,
Mendy Edouard,Gardien,Reims,"5,8",0,21,100 %
,,,,,,
Costil Benoit,Gardien,Bordeaux,"5,7",0,20,97 %
,,,,,,
Lecomte Benjamin,Gardien,Montpellier,"5,6",0,20,97 %
,,,,,,
Thauvin Florian,Mil. Off,Marseille,"5,4",16,20,79 %
,,,,,,
Laborde Gaetan,Attaquant,Montpellier,"5,1",11,20,95 %
,,,,,,
Oudin Remi,Mil. Off,Reims,"5,1",10,20,84 %
,,,,,,
Sarr Ismaila,Attaquant,Rennes,"5,4",8,20,84 %
,,,,,,
Dante,Def. Cen.,Nice,"5,3",1,19,95 %
,,,,,,
Hilton,Def. Cen.,Montpellier,"5,4",0,19,95 %
,,,,,,
Areola Alphonse,Gardien,Paris,"5,6",0,19,55 %
,,,,,,
Romao Jacques-Alaixys,Mil. Def.,Reims,"5,4",0,18,95 %
,,,,,,
Luiz Gustavo,Mil. Def.,Marseille,"5,1",2,18,68 %
,,,,,,
Manceau Vincent,Def. Lat.,Angers,"5,2",1,18,82 %
,,,,,,
Sels Matz,Gardien,Strasbourg,"5,6",0,18,97 %
,,,,,,
Reynet Baptiste,Gardien,Toulouse,"5,4",0,18,82 %
,,,,,,
Martinez Pablo,Def. Cen.,Strasbourg,"5,3",3,18,84 %
,,,,,,
Ripart Renaud,Attaquant,Nîmes,"5,3",8,18,89 %
,,,,,,
Bernardoni Paul,Gardien,Nîmes,"5,6",0,18,100 %
,,,,,,
NDombele Tanguy,Mil. Def.,Lyon,"5,3",1,18,82 %
,,,,,,
Depay Memphis,Attaquant,Lyon,"5,5",10,17,76 %
,,,,,,
Herelle Christophe,Def. Cen.,Nice,"5,4",0,17,87 %
,,,,,,
Chavalerin Xavier,Mil. Def.,Reims,"5,5",2,17,95 %
,,,,,,
Tait Flavien,Mil. Off,Angers,"5,5",5,17,89 %
,,,,,,
Gelson Martins,Attaquant,Monaco,5,4,17,45 %
,,,,,,
Denayer Jason,Def. Cen.,Lyon,"5,3",2,17,82 %
,,,,,,
Atal Youcef,Def. Lat.,Nice,"5,3",6,17,66 %
,,,,,,
Camara Souleymane,Attaquant,Montpellier,5,3,16,0 %
,,,,,,
Ben Arfa Hatem,Mil. Off,Rennes,"5,2",7,16,61 %
,,,,,,
Remy Loïc,Attaquant,Lille,5,7,16,37 %
,,,,,,
Da Silva Damien,Def. Cen.,Rennes,"5,3",2,16,84 %
,,,,,,
Marcelo,Def. Cen.,Lyon,"5,6",0,16,87 %
,,,,,,
Le Tallec Damien,Def. Cen.,Montpellier,"5,4",3,16,82 %
,,,,,,
Beric Robert,Attaquant,Saint-Étienne,5,9,16,32 %
,,,,,,
Gradel Max-Alain,Attaquant,Toulouse,"5,3",11,16,95 %
,,,,,,
Draxler Julian,Mil. Off,Paris,"5,5",3,16,58 %
,,,,,,
Koubek Tomas,Gardien,Rennes,"5,3",0,16,84 %
,,,,,,
Pedro Mendes,Def. Cen.,Montpellier,"5,3",1,16,82 %
,,,,,,
Engels Björn,Def. Cen.,Reims,"5,3",1,16,87 %
,,,,,,
Jullien Christopher,Def. Cen.,Toulouse,5,1,16,89 %
,,,,,,
Tameze Adrien,Mil. Def.,Nice,"5,3",0,16,89 %
,,,,,,
Touré Abdoulaye,Mil. Def.,Nantes,"5,4",3,16,79 %
,,,,,,
Bourigeaud Benjamin,Mil. Off,Rennes,"5,1",6,16,74 %
,,,,,,
Hunou Adrien,Mil. Off,Rennes,"5,2",7,16,37 %
,,,,,,
Ajorque Ludovic,Attaquant,Strasbourg,"5,1",9,16,47 %
,,,,,,
Santamaría Baptiste,Mil. Def.,Angers,"5,2",1,16,97 %
